Year,Gold count,Silver count,Bronze count,None count,country_iso
1932,0,0,0,3,PER
2004,0,0,0,14,PER
2016,0,0,0,34,PER
2010,0,0,0,5,PER
2014,0,0,0,5,PER
1976,0,0,0,14,PER
1900,0,0,0,2,PER
1968,0,0,0,104,SLV
2016,0,0,0,10,SLV
2012,0,0,0,11,SLV
1972,0,0,0,18,SLV
2008,0,0,0,14,SLV
1988,0,0,0,7,SLV
1996,0,0,0,10,SLV
1984,0,0,0,15,SLV
1932,0,0,0,4,SLV
2000,0,0,0,10,SLV
2004,0,0,0,9,SLV
1992,0,0,0,6,SLV
1992,0,0,1,102,PRI
1988,0,0,0,73,PRI
1996,0,0,1,90,PRI
1964,0,0,0,45,PRI
1968,0,0,0,99,PRI
2016,1,0,0,40,PRI
1984,0,1,1,57,PRI
2004,0,0,0,52,PRI
2012,0,1,1,26,PRI
1972,0,0,0,60,PRI
1976,0,0,1,111,PRI
1994,0,0,0,6,PRI
1998,0,0,0,7,PRI
1952,0,0,0,23,PRI
2008,0,0,0,31,PRI
1960,0,0,0,29,PRI
1948,0,0,1,8,PRI
2000,0,0,0,38,PRI
1956,0,0,0,14,PRI
1980,0,0,0,3,PRI
1984,0,0,0,30,UGA
2012,1,0,0,15,UGA
1996,0,0,1,11,UGA
2000,0,0,0,13,UGA
1988,0,0,0,30,UGA
2016,0,0,0,23,UGA
1972,1,1,0,33,UGA
1960,0,0,0,16,UGA
2004,0,0,0,11,UGA
1980,0,1,0,15,UGA
1964,0,0,0,19,UGA
2008,0,0,0,11,UGA
1968,0,1,1,12,UGA
1956,0,0,0,5,UGA
1992,0,0,0,9,UGA
2016,0,0,0,23,HND
2008,0,0,0,26,HND
1988,0,0,0,18,HND
1996,0,0,0,7,HND
1984,0,0,0,26,HND
1968,0,0,0,6,HND
2004,0,0,0,5,HND
1992,0,0,0,30,HND
2012,0,0,0,25,HND
2000,0,0,0,20,HND
1976,0,0,0,3,HND
1984,0,0,0,15,ECU
2012,0,0,0,36,ECU
2016,0,0,0,40,ECU
1968,0,0,0,41,ECU
1980,0,0,0,16,ECU
2008,0,1,0,25,ECU
2000,0,0,0,11,ECU
1992,0,0,0,15,ECU
1996,1,0,0,27,ECU
2004,0,0,0,18,ECU
1988,0,0,0,15,ECU
1976,0,0,0,8,ECU
1972,0,0,0,4,ECU
1924,0,0,0,4,ECU
2016,0,0,0,9,TKM
2008,0,0,0,10,TKM
1996,0,0,0,7,TKM
2000,0,0,0,8,TKM
2004,0,0,0,10,TKM
2012,0,0,0,10,TKM
2008,0,0,1,10,MUS
2016,0,0,0,11,MUS
1984,0,0,0,7,MUS
2012,0,0,0,11,MUS
2000,0,0,0,26,MUS
1996,0,0,0,32,MUS
2004,0,0,0,9,MUS
1988,0,0,0,11,MUS
1992,0,0,0,22,MUS
1992,0,0,0,21,SYC
1980,0,0,0,21,SYC
2008,0,0,0,10,SYC
2012,0,0,0,6,SYC
2016,0,0,0,10,SYC
2004,0,0,0,10,SYC
1996,0,0,0,9,SYC
2000,0,0,0,9,SYC
1984,0,0,0,15,SYC
1912,0,0,0,44,LUX
1984,0,0,0,5,LUX
1928,1,0,0,111,LUX
1920,0,1,0,34,LUX
1924,1,1,0,120,LUX
1960,0,0,0,117,LUX
1972,0,0,0,15,LUX
1948,0,0,0,115,LUX
1952,1,0,0,100,LUX
1964,0,0,0,27,LUX
1988,0,0,0,14,LUX
2000,0,0,0,9,LUX
1956,0,0,0,27,LUX
2008,0,0,0,19,LUX
1976,0,0,0,9,LUX
1980,0,0,0,4,LUX
2012,0,0,0,11,LUX
2016,0,0,0,15,LUX
1936,0,0,0,134,LUX
1992,0,2,0,11,LUX
2004,0,0,0,14,LUX
1996,0,0,0,7,LUX
1968,0,0,0,7,LUX
1994,0,0,0,5,LUX
1932,0,0,0,11,LUX
2006,0,0,0,1,LUX
2014,0,0,0,1,LUX
1998,0,0,0,1,LUX
1900,1,0,0,0,LUX
1988,0,0,0,7,MRT
1992,0,0,0,6,MRT
1996,0,0,0,4,MRT
2016,0,0,0,2,MRT
2008,0,0,0,2,MRT
1984,0,0,0,2,MRT
2000,0,0,0,2,MRT
2012,0,0,0,2,MRT
2004,0,0,0,2,MRT
1994,0,0,0,117,CZE
1998,21,1,1,96,CZE
2004,1,6,6,158,CZE
2000,2,3,4,153,CZE
2008,3,4,0,151,CZE
2012,4,4,6,145,CZE
2016,1,2,12,120,CZE
2010,2,0,7,163,CZE
2014,2,7,2,168,CZE
1996,4,5,4,156,CZE
2002,1,2,0,160,CZE
2006,1,2,24,143,CZE
2012,0,0,0,7,KNA
2016,0,0,0,9,KNA
1996,0,0,0,14,KNA
2000,0,0,0,4,KNA
2004,0,0,0,2,KNA
2008,0,0,0,6,KNA
1976,1,0,0,19,TTO
1980,0,0,0,15,TTO
1956,0,0,0,10,TTO
2002,0,0,0,3,TTO
2012,1,4,5,28,TTO
2016,0,0,1,42,TTO
2000,0,1,1,27,TTO
2004,0,0,1,25,TTO
1996,0,0,2,14,TTO
1968,0,0,0,25,TTO
1984,0,0,0,23,TTO
2008,5,1,0,29,TTO
1972,0,0,0,36,TTO
1964,0,1,5,12,TTO
1992,0,0,0,13,TTO
1988,0,0,0,10,TTO
1948,0,1,0,8,TTO
1994,0,0,0,2,TTO
1998,0,0,0,2,TTO
1952,0,0,2,0,TTO
1984,0,0,1,23,DOM
2008,1,1,0,25,DOM
1988,0,0,0,18,DOM
1996,0,0,0,16,DOM
1976,0,0,0,11,DOM
2016,0,0,1,29,DOM
1992,0,0,0,32,DOM
2012,1,1,0,34,DOM
2004,1,0,0,32,DOM
1972,0,0,0,5,DOM
2000,0,0,0,13,DOM
1968,0,0,0,24,DOM
1980,0,0,0,7,DOM
1964,0,0,0,1,DOM
1988,0,0,0,6,VCT
2012,0,0,0,3,VCT
2008,0,0,0,2,VCT
2016,0,0,0,4,VCT
1996,0,0,0,12,VCT
2000,0,0,0,4,VCT
1992,0,0,0,8,VCT
2004,0,0,0,3,VCT
1984,0,5,2,68,JAM
1988,0,7,0,48,JAM
2008,5,3,6,52,JAM
2012,8,9,8,37,JAM
1980,0,0,3,29,JAM
2016,11,17,2,47,JAM
2000,0,20,3,42,JAM
2004,6,1,6,49,JAM
1972,0,0,1,50,JAM
1976,1,1,0,34,JAM
1996,1,3,12,53,JAM
1948,1,2,0,23,JAM
1992,0,3,1,55,JAM
1964,0,0,0,32,JAM
1968,0,1,0,34,JAM
2002,0,0,0,2,JAM
2014,0,0,0,2,JAM
1956,0,0,0,13,JAM
1952,5,3,0,8,JAM
1998,0,0,0,6,JAM
2010,0,0,0,1,JAM
1994,0,0,0,6,JAM
2008,0,0,0,4,LBR
2012,0,0,0,3,LBR
1988,0,0,0,11,LBR
2000,0,0,0,10,LBR
1996,0,0,0,7,LBR
1984,0,0,0,10,LBR
1972,0,0,0,5,LBR
1956,0,0,0,11,LBR
1960,0,0,0,6,LBR
1964,0,0,0,2,LBR
2016,0,0,0,3,LBR
2004,0,0,0,2,LBR
1996,0,0,0,11,SUR
2000,0,0,0,5,SUR
1988,1,0,0,9,SUR
1992,0,0,1,8,SUR
1972,0,0,0,3,SUR
1976,0,0,0,4,SUR
1984,0,0,0,7,SUR
2004,0,0,0,4,SUR
2016,0,0,0,6,SUR
1968,0,0,0,1,SUR
2008,0,0,0,4,SUR
2012,0,0,0,5,SUR
2008,0,0,0,8,NPL
2004,0,0,0,6,NPL
1988,0,0,0,20,NPL
1980,0,0,0,10,NPL
2016,0,0,0,7,NPL
1996,0,0,0,6,NPL
2000,0,0,0,5,NPL
1924,1,0,0,0,NPL
2012,0,0,0,5,NPL
1984,0,0,0,10,NPL
1964,0,0,0,6,NPL
2002,0,0,0,2,NPL
1972,0,0,0,2,NPL
1976,0,0,0,1,NPL
1992,0,0,0,2,NPL
2006,0,0,0,1,NPL
2010,0,0,0,1,NPL
2014,0,0,0,1,NPL
2016,0,1,1,44,MNG
1980,0,2,2,63,MNG
1992,0,0,2,47,MNG
2004,0,0,1,20,MNG
2012,0,2,3,27,MNG
1988,0,0,1,40,MNG
2000,0,0,0,23,MNG
2008,2,2,0,27,MNG
1972,0,1,0,51,MNG
1976,0,1,0,32,MNG
1964,0,0,0,62,MNG
1994,0,0,0,2,MNG
1998,0,0,0,3,MNG
2002,0,0,0,4,MNG
1968,0,1,3,44,MNG
1996,0,0,1,17,MNG
2014,0,0,0,2,MNG
1984,0,0,0,12,MNG
2006,0,0,0,2,MNG
2010,0,0,0,2,MNG
1912,0,9,5,118,AUT
1924,3,4,1,52,AUT
1972,1,3,4,203,AUT
2008,0,1,2,90,AUT
1964,5,9,3,181,AUT
1968,3,10,7,151,AUT
1952,2,5,4,301,AUT
2002,3,4,13,128,AUT
2016,0,0,2,83,AUT
2004,3,4,1,84,AUT
2014,4,12,11,186,AUT
1936,7,44,9,375,AUT
2012,0,0,0,90,AUT
2000,3,1,0,110,AUT
1948,3,5,8,307,AUT
1992,9,16,10,213,AUT
1900,0,3,3,20,AUT
1928,3,4,4,151,AUT
1988,4,5,4,236,AUT
1998,3,5,12,134,AUT
1906,3,3,3,91,AUT
1994,2,3,7,118,AUT
1956,5,3,8,128,AUT
1980,4,5,4,145,AUT
1984,1,1,2,231,AUT
1960,2,4,3,231,AUT
1976,2,2,4,181,AUT
1996,0,1,2,89,AUT
2010,11,9,6,106,AUT
2006,16,7,7,102,AUT
1932,2,2,3,38,AUT
1908,0,0,1,12,AUT
1896,2,1,2,3,AUT
1904,2,1,1,3,AUT
2000,0,0,0,5,PLW
2012,0,0,0,5,PLW
2016,0,0,0,6,PLW
2008,0,0,0,5,PLW
2004,0,0,0,4,PLW
2000,2,0,15,60,LTU
2004,1,2,0,67,LTU
2016,0,2,5,73,LTU
2012,2,1,2,67,LTU
1928,0,0,0,17,LTU
1996,0,0,11,70,LTU
2008,0,2,3,73,LTU
1924,0,0,0,13,LTU
2014,0,0,0,20,LTU
1992,1,0,12,54,LTU
1998,0,0,0,18,LTU
2002,0,0,0,21,LTU
1994,0,0,0,13,LTU
2006,0,0,0,14,LTU
2010,0,0,0,13,LTU
1972,0,0,0,7,TGO
2014,0,0,0,3,TGO
2012,0,0,0,6,TGO
1988,0,0,0,6,TGO
1992,0,0,0,9,TGO
1996,0,0,0,7,TGO
2016,0,0,0,5,TGO
2000,0,0,0,3,TGO
1984,0,0,0,6,TGO
2004,0,0,0,3,TGO
2008,0,0,1,3,TGO
2016,0,0,0,11,NAM
2008,0,0,0,11,NAM
2012,0,0,0,9,NAM
2004,0,0,0,10,NAM
1996,0,2,0,8,NAM
1992,0,2,0,8,NAM
2000,0,0,0,16,NAM
1984,0,0,1,44,ISL
1996,0,0,0,15,ISL
2000,0,0,1,28,ISL
2004,0,0,0,34,ISL
1976,0,0,0,38,ISL
1992,0,0,0,46,ISL
1988,0,0,0,48,ISL
1948,0,0,0,35,ISL
2008,0,14,0,17,ISL
2012,0,0,0,36,ISL
1994,0,0,0,14,ISL
1998,0,0,0,12,ISL
2014,0,0,0,11,ISL
1972,0,0,0,30,ISL
1960,0,0,0,21,ISL
1964,0,0,0,15,ISL
1968,0,0,0,24,ISL
1952,0,0,0,42,ISL
2002,0,0,0,12,ISL
2006,0,0,0,12,ISL
2010,0,0,0,7,ISL
1980,0,0,0,24,ISL
1956,0,1,0,15,ISL
2016,0,0,0,14,ISL
1936,0,0,0,13,ISL
1912,0,0,0,2,ISL
1908,0,0,0,1,ISL
2008,0,0,0,4,ASM
1992,0,0,0,3,ASM
1996,0,0,0,7,ASM
2012,0,0,0,4,ASM
1988,0,0,0,6,ASM
2016,0,0,0,4,ASM
1994,0,0,0,2,ASM
2004,0,0,0,3,ASM
2000,0,0,0,4,ASM
2016,0,0,0,9,WSM
2004,0,0,0,3,WSM
2008,0,0,0,7,WSM
1988,0,0,0,11,WSM
1992,0,0,0,5,WSM
1984,0,0,0,9,WSM
2012,0,0,0,9,WSM
1996,0,0,0,5,WSM
2000,0,0,0,5,WSM
2012,0,0,0,7,RWA
1984,0,0,0,6,RWA
2016,0,0,0,7,RWA
2004,0,0,0,5,RWA
2008,0,0,0,4,RWA
1988,0,0,0,8,RWA
2000,0,0,0,5,RWA
1996,0,0,0,4,RWA
1992,0,0,0,10,RWA
2000,0,0,0,4,DMA
1996,0,0,0,6,DMA
2014,0,0,0,1,DMA
2016,0,0,0,2,DMA
2012,0,0,0,2,DMA
2008,0,0,0,2,DMA
2004,0,0,0,2,DMA
1988,0,0,0,5,HTI
1996,0,0,0,7,HTI
1924,0,0,5,11,HTI
2008,0,0,0,7,HTI
2004,0,0,0,8,HTI
2016,0,0,0,10,HTI
1928,0,1,0,2,HTI
1932,0,0,0,3,HTI
1976,0,0,0,14,HTI
1972,0,0,0,7,HTI
2000,0,0,0,5,HTI
1900,0,0,0,3,HTI
2012,0,0,0,5,HTI
1984,0,0,0,3,HTI
1992,0,0,0,8,HTI
1960,0,0,0,1,HTI
1980,0,0,0,12,MLT
1984,0,0,0,7,MLT
1988,0,0,0,6,MLT
2004,0,0,0,7,MLT
2000,0,0,0,7,MLT
2008,0,0,0,6,MLT
1936,0,0,0,11,MLT
2016,0,0,0,8,MLT
1972,0,0,0,5,MLT
1928,0,0,0,9,MLT
1996,0,0,0,10,MLT
1960,0,0,0,13,MLT
2012,0,0,0,5,MLT
1992,0,0,0,8,MLT
1968,0,0,0,1,MLT
1948,0,0,0,1,MLT
2014,0,0,0,2,MLT
1984,0,0,0,22,CYP
2000,0,0,0,24,CYP
2004,0,0,0,21,CYP
2008,0,0,0,18,CYP
2012,0,1,0,12,CYP
1996,0,0,0,24,CYP
1980,0,0,0,21,CYP
1988,0,0,0,19,CYP
1992,0,0,0,30,CYP
2016,0,0,0,21,CYP
1994,0,0,0,1,CYP
2002,0,0,0,2,CYP
2006,0,0,0,2,CYP
2014,0,0,0,2,CYP
2010,0,0,0,4,CYP
1998,0,0,0,1,CYP
1980,0,0,0,10,GIN
1988,0,0,0,7,GIN
1992,0,0,0,11,GIN
2000,0,0,0,6,GIN
2016,0,0,0,5,GIN
1968,0,0,0,15,GIN
2008,0,0,0,5,GIN
2012,0,0,0,4,GIN
1984,0,0,0,1,GIN
1996,0,0,0,5,GIN
2004,0,0,0,4,GIN
2004,0,0,0,2,BLZ
1968,0,0,0,7,BLZ
1988,0,0,0,13,BLZ
1984,0,0,0,13,BLZ
1992,0,0,0,18,BLZ
2008,0,0,0,4,BLZ
1996,0,0,0,5,BLZ
2016,0,0,0,3,BLZ
2000,0,0,0,2,BLZ
2012,0,0,0,3,BLZ
1972,0,0,0,2,BLZ
1976,0,0,0,4,BLZ
1992,33,6,17,323,KOR
1994,7,1,1,36,KOR
1998,6,4,2,67,KOR
2016,13,3,10,237,KOR
1984,6,28,7,237,KOR
1988,28,37,12,530,KOR
1964,0,2,1,253,KOR
1948,0,0,2,53,KOR
1956,0,1,1,44,KOR
1968,0,1,1,78,KOR
1972,0,1,0,53,KOR
1976,1,1,15,43,KOR
1996,10,49,7,351,KOR
1960,0,0,0,69,KOR
2008,41,11,26,251,KOR
2010,6,10,2,66,KOR
2004,14,28,10,292,KOR
2002,5,2,0,80,KOR
2006,14,3,2,66,KOR
2000,12,26,35,286,KOR
2012,18,13,30,251,KOR
1952,0,0,2,20,KOR
2014,7,5,2,116,KOR
1980,0,0,0,24,KOR
1956,0,0,0,40,THA
1984,0,1,0,39,THA
2016,2,2,2,52,THA
2008,2,2,0,49,THA
2012,0,2,1,40,THA
1964,0,0,0,67,THA
1972,0,0,0,37,THA
1960,0,0,0,24,THA
1968,0,0,0,46,THA
1976,0,0,1,61,THA
2004,3,1,4,43,THA
1992,0,0,1,63,THA
1988,0,0,1,14,THA
1996,1,0,1,56,THA
2000,1,0,2,65,THA
1952,0,0,0,15,THA
2002,0,0,0,2,THA
2006,0,0,0,1,THA
2014,0,0,0,3,THA
2004,0,0,0,10,BMU
2008,0,0,0,6,BMU
1988,0,0,0,14,BMU
1972,0,0,0,9,BMU
1948,0,0,0,28,BMU
1952,0,0,0,12,BMU
1996,0,0,0,10,BMU
1936,0,0,0,9,BMU
1968,0,0,0,6,BMU
1976,0,0,1,19,BMU
1992,0,0,0,30,BMU
2000,0,0,0,7,BMU
2012,0,0,0,8,BMU
1984,0,0,0,13,BMU
2016,0,0,0,8,BMU
1960,0,0,0,1,BMU
1964,0,0,0,1,BMU
2010,0,0,0,1,BMU
2014,0,0,0,1,BMU
1994,0,0,0,1,BMU
1998,0,0,0,1,BMU
2002,0,0,0,1,BMU
2006,0,0,0,1,BMU
1980,0,0,0,32,SLE
1992,0,0,0,15,SLE
1996,0,0,0,19,SLE
2004,0,0,0,2,SLE
2000,0,0,0,3,SLE
1984,0,0,0,10,SLE
2008,0,0,0,3,SLE
1968,0,0,0,4,SLE
1988,0,0,0,20,SLE
2016,0,0,0,4,SLE
2012,0,0,0,2,SLE
1996,0,0,0,17,PNG
1988,0,0,0,15,PNG
1992,0,0,0,19,PNG
2016,0,0,0,8,PNG
2000,0,0,0,5,PNG
2004,0,0,0,6,PNG
2008,0,0,0,9,PNG
1984,0,0,0,12,PNG
1976,0,0,0,9,PNG
2012,0,0,0,8,PNG
2004,0,0,0,3,YEM
1992,0,0,0,8,YEM
2008,0,0,0,8,YEM
2012,0,0,0,4,YEM
1996,0,0,0,4,YEM
2000,0,0,0,2,YEM
2016,0,0,0,3,YEM
1984,0,0,0,22,OMN
2016,0,0,0,4,OMN
1992,0,0,0,5,OMN
1988,0,0,0,13,OMN
2008,0,0,0,4,OMN
2000,0,0,0,8,OMN
2004,0,0,0,2,OMN
2012,0,0,0,3,OMN
1996,0,0,0,5,OMN
2012,0,0,0,9,FJI
1984,0,0,0,26,FJI
1988,0,0,0,42,FJI
2016,13,0,0,40,FJI
1956,0,0,0,5,FJI
1992,0,0,0,36,FJI
1996,0,0,0,21,FJI
2004,0,0,0,9,FJI
2008,0,0,0,6,FJI
1968,0,0,0,1,FJI
1960,0,0,0,3,FJI
1976,0,0,0,5,FJI
2000,0,0,0,9,FJI
1994,0,0,0,1,FJI
1972,0,0,0,4,FJI
2002,0,0,0,2,FJI
2012,0,0,0,5,VUT
1988,0,0,0,6,VUT
1992,0,0,0,8,VUT
1996,0,0,0,4,VUT
2004,0,0,0,2,VUT
2008,0,0,0,3,VUT
2000,0,0,0,3,VUT
2016,0,0,0,4,VUT
2016,0,0,0,23,MDA
1996,0,2,1,47,MDA
2012,0,0,2,18,MDA
2010,0,0,0,11,MDA
2000,0,1,1,33,MDA
2004,0,0,0,33,MDA
2008,0,0,1,29,MDA
2006,0,0,0,10,MDA
1998,0,0,0,4,MDA
2002,0,0,0,9,MDA
2014,0,0,0,5,MDA
1994,0,0,0,4,MDA
1952,0,0,0,1,BHS
1956,0,0,0,3,BHS
1960,0,0,0,4,BHS
1968,0,0,0,22,BHS
2000,6,0,5,28,BHS
2004,1,0,1,26,BHS
2008,0,6,1,26,BHS
2012,4,0,0,25,BHS
2016,1,0,5,32,BHS
1972,0,0,0,25,BHS
1976,0,0,0,19,BHS
1984,0,0,0,31,BHS
1996,0,5,0,31,BHS
1964,0,0,0,4,BHS
1988,0,0,0,18,BHS
1992,0,0,1,17,BHS
1968,0,0,0,67,GTM
2012,0,1,0,23,GTM
1984,0,0,0,53,GTM
1976,0,0,0,28,GTM
1988,0,0,0,52,GTM
2004,0,0,0,19,GTM
2008,0,0,0,13,GTM
1992,0,0,0,41,GTM
1952,0,0,0,35,GTM
2016,0,0,0,25,GTM
2000,0,0,0,18,GTM
1996,0,0,0,28,GTM
1972,0,0,0,11,GTM
1980,0,0,0,10,GTM
1932,0,0,0,1,GTM
2012,1,1,14,118,SRB
2016,14,27,13,73,SRB
2008,0,1,14,82,SRB
2014,0,0,0,17,SRB
2010,0,0,0,15,SRB
1912,0,0,0,2,SRB
1980,0,0,0,16,MOZ
2000,1,0,0,3,MOZ
1988,0,0,0,12,MOZ
2016,0,0,0,8,MOZ
2008,0,0,0,4,MOZ
2012,0,0,0,6,MOZ
1984,0,0,0,14,MOZ
2004,0,0,0,4,MOZ
1992,0,0,0,7,MOZ
1996,0,0,1,2,MOZ
2004,0,0,0,4,CAF
1992,0,0,0,21,CAF
1984,0,0,0,3,CAF
1988,0,0,0,15,CAF
1996,0,0,0,5,CAF
2008,0,0,0,3,CAF
2012,0,0,0,6,CAF
2016,0,0,0,6,CAF
2000,0,0,0,3,CAF
1968,0,0,0,1,CAF
2012,0,0,0,7,MDG
2016,0,0,0,6,MDG
1972,0,0,0,13,MDG
2004,0,0,0,8,MDG
2008,0,0,0,6,MDG
1980,0,0,0,18,MDG
2000,0,0,0,13,MDG
1984,0,0,0,5,MDG
1964,0,0,0,4,MDG
1992,0,0,0,17,MDG
1996,0,0,0,14,MDG
1968,0,0,0,6,MDG
2006,0,0,0,2,MDG
2008,0,0,0,7,BIH
2016,0,0,0,11,BIH
1994,0,0,0,12,BIH
1998,0,0,0,12,BIH
2002,0,0,0,4,BIH
1992,0,0,0,13,BIH
2006,0,0,0,9,BIH
1996,0,0,0,12,BIH
2000,0,0,0,11,BIH
2004,0,0,0,11,BIH
2012,0,0,0,8,BIH
2010,0,0,0,10,BIH
2014,0,0,0,14,BIH
2008,0,0,0,7,GUM
1992,0,0,0,45,GUM
1988,0,0,0,27,GUM
2012,0,0,0,8,GUM
1996,0,0,0,9,GUM
2000,0,0,0,7,GUM
2004,0,0,0,4,GUM
2016,0,0,0,5,GUM
2016,0,0,0,5,CYM
1988,0,0,0,12,CYM
1992,0,0,0,13,CYM
1996,0,0,0,9,CYM
1984,0,0,0,14,CYM
2008,0,0,0,6,CYM
2012,0,0,0,7,CYM
2004,0,0,0,8,CYM
1976,0,0,0,2,CYM
2000,0,0,0,4,CYM
2010,0,0,0,1,CYM
2014,0,0,0,2,CYM
2000,2,3,1,126,SVK
2004,3,2,5,74,SVK
2010,1,1,1,104,SVK
2002,0,0,0,79,SVK
2006,0,1,0,113,SVK
1994,0,0,0,67,SVK
1998,0,0,0,64,SVK
2014,1,0,0,114,SVK
2016,3,5,0,55,SVK
1996,1,1,1,95,SVK
2008,4,5,1,57,SVK
2012,0,1,4,60,SVK
2000,0,0,1,27,BRB
2004,0,0,0,15,BRB
1992,0,0,0,22,BRB
2008,0,0,0,10,BRB
2012,0,0,0,8,BRB
1988,0,0,0,26,BRB
1972,0,0,0,20,BRB
1984,0,0,0,25,BRB
2016,0,0,0,13,BRB
1968,0,0,0,13,BRB
1976,0,0,0,17,BRB
1996,0,0,0,22,BRB
2004,0,0,0,2,TLS
2016,0,0,0,3,TLS
2014,0,0,0,1,TLS
2012,0,0,0,2,TLS
2008,0,0,0,1,TLS
1996,0,0,0,14,COD
1988,0,0,0,21,COD
1992,0,0,0,19,COD
2004,0,0,0,6,COD
1984,0,0,0,9,COD
1968,0,0,0,8,COD
2000,0,0,0,3,COD
2016,0,0,0,4,COD
2012,0,0,0,4,COD
2008,0,0,0,5,COD
2016,0,0,0,6,GAB
2012,0,1,0,20,GAB
2008,0,0,0,4,GAB
2004,0,0,0,5,GAB
1992,0,0,0,5,GAB
1988,0,0,0,2,GAB
1996,0,0,0,9,GAB
2000,0,0,0,6,GAB
1972,0,0,0,1,GAB
1984,0,0,0,4,GAB
1992,0,0,0,28,SMR
1996,0,0,0,7,SMR
2000,0,0,0,4,SMR
2004,0,0,0,5,SMR
1976,0,0,0,13,SMR
1988,0,0,0,27,SMR
1984,0,0,0,37,SMR
2008,0,0,0,4,SMR
2006,0,0,0,1,SMR
2010,0,0,0,1,SMR
1980,0,0,0,16,SMR
1960,0,0,0,13,SMR
1972,0,0,0,7,SMR
1994,0,0,0,3,SMR
1968,0,0,0,4,SMR
2002,0,0,0,1,SMR
2012,0,0,0,4,SMR
2014,0,0,0,2,SMR
2016,0,0,0,4,SMR
1996,0,0,0,5,LAO
2004,0,0,0,5,LAO
1980,0,0,0,19,LAO
2016,0,0,0,5,LAO
2008,0,0,0,4,LAO
2012,0,0,0,3,LAO
2000,0,0,0,3,LAO
1992,0,0,0,7,LAO
1988,0,0,0,3,LAO
2012,0,1,0,3,BWA
2016,0,0,0,14,BWA
1996,0,0,0,7,BWA
1984,0,0,0,8,BWA
2008,0,0,0,11,BWA
2004,0,0,0,12,BWA
2000,0,0,0,9,BWA
1980,0,0,0,8,BWA
1992,0,0,0,6,BWA
1988,0,0,0,11,BWA
1976,1,1,0,38,PRK
2008,2,1,3,60,PRK
2012,4,0,2,51,PRK
1992,4,0,7,148,PRK
1964,0,1,0,19,PRK
2000,0,1,3,43,PRK
1980,0,3,2,116,PRK
2016,2,3,2,31,PRK
1996,2,1,2,31,PRK
2004,0,4,1,66,PRK
1972,1,1,13,78,PRK
1984,0,0,0,17,PRK
1988,0,0,0,15,PRK
2006,0,0,0,7,PRK
1998,0,0,0,17,PRK
2010,0,0,0,3,PRK
1996,0,0,0,4,SLB
1984,0,0,0,3,SLB
1992,0,0,0,1,SLB
1988,0,0,0,5,SLB
2016,0,0,0,3,SLB
2008,0,0,0,3,SLB
2000,0,0,0,2,SLB
2004,0,0,0,2,SLB
2012,0,0,0,4,SLB
1972,0,0,0,40,SEN
1988,0,1,0,34,SEN
1992,0,0,0,35,SEN
2012,0,0,0,32,SEN
2008,0,0,0,17,SEN
1976,0,0,0,33,SEN
1984,0,0,0,31,SEN
1980,0,0,0,39,SEN
2004,0,0,0,21,SEN
2016,0,0,0,22,SEN
1968,0,0,0,24,SEN
2000,0,0,0,32,SEN
1996,0,0,0,12,SEN
1964,0,0,0,14,SEN
1994,0,0,0,1,SEN
2006,0,0,0,3,SEN
2010,0,0,0,2,SEN
1996,0,0,0,3,CPV
2016,0,0,0,5,CPV
2008,0,0,0,2,CPV
2000,0,0,0,2,CPV
2004,0,0,0,3,CPV
2012,0,0,0,3,CPV
1992,0,0,0,8,GNQ
1996,0,0,0,8,GNQ
2000,0,0,0,4,GNQ
1984,0,0,0,5,GNQ
1988,0,0,0,7,GNQ
2004,0,0,0,2,GNQ
2012,0,0,0,2,GNQ
2016,0,0,0,1,GNQ
2008,0,0,0,3,GNQ
1992,0,0,0,29,BOL
1988,0,0,0,20,BOL
1972,0,0,0,14,BOL
1968,0,0,0,4,BOL
1984,0,0,0,18,BOL
1980,0,0,0,8,BOL
2012,0,0,0,5,BOL
1996,0,0,0,9,BOL
2008,0,0,0,7,BOL
2000,0,0,0,5,BOL
2016,0,0,0,12,BOL
1936,0,0,0,2,BOL
2004,0,0,0,11,BOL
1956,0,0,0,2,BOL
1976,0,0,0,5,BOL
1964,0,0,0,1,BOL
2002,0,0,0,5,AND
2006,0,0,0,10,AND
1976,0,0,0,14,AND
2016,0,0,0,4,AND
1996,0,0,0,8,AND
2000,0,0,0,5,AND
2004,0,0,0,6,AND
2008,0,0,0,5,AND
2012,0,0,0,6,AND
1992,0,0,0,22,AND
1988,0,0,0,13,AND
1994,0,0,0,13,AND
1998,0,0,0,7,AND
1980,0,0,0,11,AND
1984,0,0,0,8,AND
2010,0,0,0,20,AND
2014,0,0,0,12,AND
1992,0,0,0,18,ATG
2004,0,0,0,5,ATG
2008,0,0,0,5,ATG
2012,0,0,0,4,ATG
2016,0,0,0,9,ATG
1996,0,0,0,19,ATG
2000,0,0,0,4,ATG
1984,0,0,0,27,ATG
1988,0,0,0,25,ATG
1976,0,0,0,17,ATG
2004,1,1,1,11,ZWE
1988,0,0,0,47,ZWE
2008,1,3,0,12,ZWE
1964,0,0,0,31,ZWE
2016,0,0,0,31,ZWE
1928,0,0,0,2,ZWE
1996,0,0,0,21,ZWE
2000,0,0,0,26,ZWE
1980,15,0,0,37,ZWE
1992,0,0,0,28,ZWE
1984,0,0,0,20,ZWE
1960,0,0,0,10,ZWE
2012,0,0,0,9,ZWE
